2025-12-28 23:24:45.169  1218-1354  SatelliteAppTracker     com.android.phone                    E  packageName: com.nexusmatch.app, value: null
---------------------------- PROCESS STARTED (4833) for package com.nexusmatch.app ----------------------------
2025-12-28 23:26:39.523  4833-4833  nativeloader            com.nexusmatch.app                   D  Load libframework-connectivity-tiramisu-jni.so using APEX ns com_android_tethering for caller /apex/com.android.tethering/javalib/framework-connectivity-t.jar: ok
2025-12-28 23:26:39.615  4833-4833  re-initialized>         com.nexusmatch.app                   W  type=1400 audit(0.0:98): avc:  granted  { execute } for  path="/data/data/com.nexusmatch.app/code_cache/startup_agents/69b40b6c-agent.so" dev="dm-56" ino=385210 scontext=u:r:untrusted_app:s0:c223,c256,c512,c768 tcontext=u:object_r:app_data_file:s0:c223,c256,c512,c768 tclass=file app=com.nexusmatch.app
2025-12-28 23:26:39.632  4833-4833  nativeloader            com.nexusmatch.app                   D  Load /data/user/0/com.nexusmatch.app/code_cache/startup_agents/69b40b6c-agent.so using system ns (caller=<unknown>): ok
2025-12-28 23:26:39.643  4833-4833  .nexusmatch.app         com.nexusmatch.app                   W  hiddenapi: DexFile /data/data/com.nexusmatch.app/code_cache/.studio/instruments-cbb5ff5f.jar is in boot class path but is not in a known location
2025-12-28 23:26:39.674  4833-4833  .nexusmatch.app         com.nexusmatch.app                   W  Redefining intrinsic method java.lang.Thread java.lang.Thread.currentThread(). This may cause the unexpected use of the original definition of java.lang.Thread java.lang.Thread.currentThread()in methods that have already been compiled.
2025-12-28 23:26:39.674  4833-4833  .nexusmatch.app         com.nexusmatch.app                   W  Redefining intrinsic method boolean java.lang.Thread.interrupted(). This may cause the unexpected use of the original definition of boolean java.lang.Thread.interrupted()in methods that have already been compiled.
2025-12-28 23:26:39.874  4833-4833  nativeloader            com.nexusmatch.app                   D  Configuring clns-9 for other apk /data/app/~~Zkd36rG7sJH2yFcTOEKHdA==/com.nexusmatch.app-droHaIAe_Br7vnEHddq2Hw==/base.apk. target_sdk_version=35, uses_libraries=, library_path=/data/app/~~Zkd36rG7sJH2yFcTOEKHdA==/com.nexusmatch.app-droHaIAe_Br7vnEHddq2Hw==/lib/x86_64, permitted_path=/data:/mnt/expand:/data/user/0/com.nexusmatch.app
2025-12-28 23:26:39.879  4833-4833  CompatChangeReporter    com.nexusmatch.app                   D  Compat change id reported: 202956589; UID 10223; state: ENABLED
2025-12-28 23:26:39.892  4833-4833  GraphicsEnvironment     com.nexusmatch.app                   V  Currently set values for:
2025-12-28 23:26:39.892  4833-4833  GraphicsEnvironment     com.nexusmatch.app                   V    angle_gl_driver_selection_pkgs=[]
2025-12-28 23:26:39.892  4833-4833  GraphicsEnvironment     com.nexusmatch.app                   V    angle_gl_driver_selection_values=[]
2025-12-28 23:26:39.892  4833-4833  GraphicsEnvironment     com.nexusmatch.app                   V  com.nexusmatch.app is not listed in per-application setting
2025-12-28 23:26:39.892  4833-4833  GraphicsEnvironment     com.nexusmatch.app                   V  ANGLE allowlist from config: com.dreamgames.royalmatch com.dts.freefiremax com.dxx.firenow com.gramgames.mergedragons com.ludo.king com.mojang.minecraftpe com.my.defense com.nintendo.zaka com.os.airforce com.playrix.fishdomdd.gplay io.teslatech.callbreak jp.konami.prospia net.peakgames.toonblast
2025-12-28 23:26:39.892  4833-4833  GraphicsEnvironment     com.nexusmatch.app                   V  No special selections for ANGLE, returning default driver choice
2025-12-28 23:26:39.892  4833-4833  GraphicsEnvironment     com.nexusmatch.app                   V  Neither updatable production driver nor prerelease driver is supported.
2025-12-28 23:26:39.920  4833-4833  FirebaseApp             com.nexusmatch.app                   I  Device unlocked: initializing all Firebase APIs for app [DEFAULT]
2025-12-28 23:26:39.931  4833-4833  FirebaseInitProvider    com.nexusmatch.app                   I  FirebaseApp initialization successful
2025-12-28 23:26:39.944  4833-4833  WM-WrkMgrInitializer    com.nexusmatch.app                   D  Initializing WorkManager with default configuration.
2025-12-28 23:26:39.960  4833-4850  .nexusmatch.app         com.nexusmatch.app                   W  ClassLoaderContext classpath size mismatch. expected=1, found=0 (DLC[];PCL[base.apk*630649996]{PCL[/system/framework/org.apache.http.legacy.jar*1269945583]#PCL[/system/framework/com.android.media.remotedisplay.jar*1296079867]#PCL[/system/framework/com.android.location.provider.jar*1489720897]#PCL[/system_ext/framework/androidx.window.extensions.jar*1272918975]#PCL[/system_ext/framework/androidx.window.sidecar.jar*3267387525]} | DLC[];PCL[])
2025-12-28 23:26:39.967  4833-4852  ashmem                  com.nexusmatch.app                   E  Pinning is deprecated since Android Q. Please use trim or other methods.
2025-12-28 23:26:39.969  4833-4850  DynamiteModule          com.nexusmatch.app                   I  Considering local module com.google.android.gms.measurement.dynamite:105 and remote module com.google.android.gms.measurement.dynamite:170
2025-12-28 23:26:39.969  4833-4850  DynamiteModule          com.nexusmatch.app                   I  Selected remote version of com.google.android.gms.measurement.dynamite, version >= 170
2025-12-28 23:26:39.969  4833-4850  DynamiteModule          com.nexusmatch.app                   V  Dynamite loader version >= 2, using loadModule2NoCrashUtils
2025-12-28 23:26:39.970  4833-4854  DisplayManager          com.nexusmatch.app                   I  Choreographer implicitly registered for the refresh rate.
2025-12-28 23:26:39.992  4833-4850  System                  com.nexusmatch.app                   W  ClassLoader referenced unknown path: 
2025-12-28 23:26:39.993  4833-4850  nativeloader            com.nexusmatch.app                   D  Configuring clns-10 for other apk . target_sdk_version=36, uses_libraries=, library_path=/data/app/~~w9krlco8gAcYHtzTw7Ntsg==/com.google.android.gms-WWvu4ge_pfIhJUSs3t4qww==/lib/x86_64:/data/app/~~w9krlco8gAcYHtzTw7Ntsg==/com.google.android.gms-WWvu4ge_pfIhJUSs3t4qww==/base.apk!/lib/x86_64, permitted_path=/data:/mnt/expand:/data/user/0/com.google.android.gms
2025-12-28 23:26:39.996  4833-4833  DesktopExperienceFlags  com.nexusmatch.app                   D  Toggle override initialized to: false
2025-12-28 23:26:40.008  4833-4833  AppCompatDelegate       com.nexusmatch.app                   D  Checking for metadata for AppLocalesMetadataHolderService : Service not found
2025-12-28 23:26:40.046  4833-4833  CompatChangeReporter    com.nexusmatch.app                   D  Compat change id reported: 309578419; UID 10223; state: ENABLED
2025-12-28 23:26:40.046  4833-4833  DesktopModeFlags        com.nexusmatch.app                   D  Toggle override initialized to: OVERRIDE_UNSET
2025-12-28 23:26:40.050  4833-4850  .nexusmatch.app         com.nexusmatch.app                   W  ClassLoaderContext classpath element checksum mismatch. expected=630649996, found=3550969523 (DLC[];PCL[base.apk*630649996]{PCL[/system/framework/org.apache.http.legacy.jar*1269945583]#PCL[/system/framework/com.android.media.remotedisplay.jar*1296079867]#PCL[/system/framework/com.android.location.provider.jar*1489720897]#PCL[/system_ext/framework/androidx.window.extensions.jar*1272918975]#PCL[/system_ext/framework/androidx.window.sidecar.jar*3267387525]} | DLC[];PCL[/data/app/~~Zkd36rG7sJH2yFcTOEKHdA==/com.nexusmatch.app-droHaIAe_Br7vnEHddq2Hw==/base.apk*3550969523])
2025-12-28 23:26:40.067  4833-4833  .nexusmatch.app         com.nexusmatch.app                   I  hiddenapi: Accessing hidden method Landroid/view/View;->computeFitSystemWindows(Landroid/graphics/Rect;Landroid/graphics/Rect;)Z (runtime_flags=0, domain=platform, api=unsupported) from Landroidx/appcompat/widget/ViewUtils; (domain=app, TargetSdkVersion=35) using reflection: allowed
2025-12-28 23:26:40.067  4833-4833  .nexusmatch.app         com.nexusmatch.app                   I  hiddenapi: Accessing hidden method Landroid/view/ViewGroup;->makeOptionalFitsSystemWindows()V (runtime_flags=0, domain=platform, api=unsupported) from Landroidx/appcompat/widget/ViewUtils; (domain=app, TargetSdkVersion=35) using reflection: allowed
2025-12-28 23:26:40.078  4833-4854  GFXSTREAM               com.nexusmatch.app                   I  [eglDisplay.cpp(297)] Opening libGLESv1_CM_emulation.so
2025-12-28 23:26:40.085  4833-4854  GFXSTREAM               com.nexusmatch.app                   I  [eglDisplay.cpp(297)] Opening libGLESv2_emulation.so
2025-12-28 23:26:40.087  4833-4833  WebViewFactory          com.nexusmatch.app                   I  Loading com.google.android.webview version 134.0.6998.135 (code 699813538)
2025-12-28 23:26:40.112  4833-4833  ResourcesManager        com.nexusmatch.app                   V  The following library key has been added: ResourcesKey{ mHash=cbfb8312 mResDir=null mSplitDirs=[] mOverlayDirs=[] mLibDirs=[/data/app/~~3PAE4O9AFac2H-nWG73Uvg==/com.google.android.webview-a4k0foH-oAjwEhC_b_Milw==/WebViewGoogle.apk,/data/app/~~H5eyTp7o-RXwXgXvBuGLgA==/com.google.android.trichromelibrary_699813538-ZeKep_M5-MUwfVtSa3zINw==/TrichromeLibrary.apk,/system_ext/framework/androidx.window.extensions.jar] mDisplayId=0 mOverrideConfig=v36 mCompatInfo={420dpi always-compat} mLoaders=[]}
2025-12-28 23:26:40.116  4833-4854  HWUI                    com.nexusmatch.app                   W  Failed to choose config with EGL_SWAP_BEHAVIOR_PRESERVED, retrying without...
2025-12-28 23:26:40.116  4833-4833  .nexusmatch.app         com.nexusmatch.app                   W  Failed to find entry 'classes.dex': Entry not found
2025-12-28 23:26:40.116  4833-4854  HWUI                    com.nexusmatch.app                   W  Failed to initialize 101010-2 format, error = EGL_SUCCESS
